date,Open,High,Low,Close,Volume,open_price,first_stop,action,open_date,open_n,direction,open_action,limit,max_loss,pnl,close_price,close_date,close_n,close_action,pnl_cumsum
2019-09-19 04:00:00,9820.96,9823.2,9780.75,9786.21,582.207,10252.14,10038.4693208871,o_long,2019-09-17 18:00:00,105,long,o_long,10444.5024791129,False,-430.17,9821.97,2019-09-19 04:00:00,122,e_long,-430.17
2019-09-22 02:00:00,9905.61,9940.56,9883.68,9932.78,485.906,10239.05,9954.83346590486,o_long,2019-09-19 22:00:00,131,long,o_long,10473.7173340951,False,-333.179999999998,9905.87,2019-09-22 02:00:00,157,e_long,-763.349999999999
2019-10-06 14:00:00,7899.58,7920.95,7861,7883.96,1361.713,8250.79,7663.54665534511,o_long,2019-10-02 20:00:00,286,long,o_long,8821.52954465488,False,-350.970000000001,7899.82,2019-10-06 14:00:00,331,e_long,-1114.32
2019-10-09 16:00:00,8549.48,8590.74,8490.9,8570.77,4106.022,8144,7827.29757035527,o_long,2019-10-07 14:00:00,343,long,o_long,8420.55542964474,False,406.09,8550.09,2019-10-09 16:00:00,368,e_long,-708.23
2019-10-16 12:00:00,8060.33,8060.33,7982.01,7996.41,4611.368,8245.47,8666.0058630259,o_short,2019-10-13 22:00:00,419,short,o_short,7843.6017369741,False,185.139999999999,8060.33,2019-10-16 12:00:00,450,e_short,-523.09
2019-10-23 14:00:00,7466.9,7498,7439,7478.01,4280.015,8133,7787.31884183268,o_long,2019-10-20 18:00:00,501,long,o_long,8469.18155816732,False,-664.29,7468.71,2019-10-23 14:00:00,535,e_long,-1187.38
2019-10-25 20:00:00,8633.45,8654.78,8589,8621.99,3715.929,8264.52,7336.03153980501,o_long,2019-10-25 16:00:00,560,long,o_long,8483.209060195,False,367.209999999999,8631.73,2019-10-25 20:00:00,562,e_long,-820.170000000001
2019-11-08 10:00:00,9051.05,9059.43,9020,9026.85,2859.734,9265,9657.1237143995,o_short,2019-11-03 06:00:00,663,short,o_short,8903.9444856005,False,213.75,9051.25,2019-11-08 10:00:00,725,e_short,-606.420000000001
2019-12-14 16:00:00,7057.3,7066,7007.86,7049.84,8315.018,7548.93,6529.77835579542,o_long,2019-11-27 18:00:00,957,long,o_long,8301.77324420457,False,-491.62,7057.31,2019-12-14 16:00:00,1160,e_long,-1098.04
2019-12-22 20:00:00,7396.79,7450,7394.68,7416.84,5297.632,7121.01,6680.18768726989,o_long,2019-12-18 22:00:00,1211,long,o_long,7451.8355127301,False,275.83,7396.84,2019-12-22 20:00:00,1258,e_long,-822.210000000001
2020-01-02 08:00:00,7107.53,7143.35,7106.75,7128.49,2830.04,7184.65,7572.68673342772,o_short,2019-12-26 12:00:00,1302,short,o_short,6815.08646657228,False,77.0899999999992,7107.56,2020-01-02 08:00:00,1384,e_short,-745.120000000002
2020-01-06 04:00:00,7538.66,7550.45,7514.65,7516.3,3006.573,7345.15,7029.09212566174,o_long,2020-01-03 10:00:00,1397,long,o_long,7437.06387433825,False,193.5,7538.65,2020-01-06 04:00:00,1430,e_long,-551.620000000002
2020-01-23 10:00:00,8450.12,8467.86,8414.14,8440.23,6189.899,8622.74,9247.97533834492,o_short,2020-01-20 12:00:00,1602,short,o_short,8016.83026165507,False,172.57,8450.17,2020-01-23 10:00:00,1637,e_short,-379.050000000002
2020-01-27 20:00:00,8934.04,8965,8923.31,8950.14,3612.839,8599.92,8177.11646848134,o_long,2020-01-26 22:00:00,1679,long,o_long,8995.85773151866,False,334.120000000001,8934.04,2020-01-27 20:00:00,1690,e_long,-44.9300000000012
2020-02-05 18:00:00,9575.92,9799.08,9573.45,9663.8,22224.7,9183.36,9700.11730879753,o_short,2020-02-04 10:00:00,1781,short,o_short,8840.76569120247,False,-392.529999999999,9575.89,2020-02-05 18:00:00,1797,e_short,-437.46
2020-02-17 12:00:00,9634.59,9684.73,9609.89,9669.94,5783.956,9982.18,10525.3633960138,o_short,2020-02-15 16:00:00,1916,short,o_short,9647.3592039862,False,347.639999999999,9634.54,2020-02-17 12:00:00,1938,e_short,-89.8200000000006
2020-02-25 18:00:00,9344.49,9378.52,9332.24,9371.47,2269.099,10053,9538.66928716019,o_long,2020-02-18 20:00:00,1954,long,o_long,10546.4041128398,False,-708.51,9344.49,2020-02-25 18:00:00,2037,e_long,-798.330000000001
2020-03-05 10:00:00,9086.16,9098.88,9055,9072.97,4377.633,8879.95,8416.27217882811,o_long,2020-03-05 02:00:00,2137,long,o_long,9150.49422117189,False,206.219999999999,9086.17,2020-03-05 10:00:00,2141,e_long,-592.110000000002
2020-03-08 16:00:00,8399.99,8401.49,8115.94,8211.53,29870.952,8768.24,9218.48863028231,o_short,2020-03-08 02:00:00,2173,short,o_short,8453.33636971768,False,368.24,8400,2020-03-08 16:00:00,2180,e_short,-223.870000000002
2020-03-20 10:00:00,6754.39,6755,6651.4,6742.33,12636.166,5836.6,3871.85049041888,o_long,2020-03-19 14:00:00,2311,long,o_long,7441.4373095811,False,917.549999999999,6754.15,2020-03-20 10:00:00,2321,e_long,693.679999999998
2020-04-02 18:00:00,7082.01,7087.48,6819.77,6896.01,35824.427,6353.64,6964.13358036816,o_short,2020-03-28 00:00:00,2412,short,o_short,5851.24681963184,False,-728.799999999999,7082.44,2020-04-02 18:00:00,2481,e_short,-35.1200000000017
2020-04-18 14:00:00,7230.05,7264.62,7201.58,7222.29,10682.771,6952.11,7537.58819165309,o_short,2020-04-10 06:00:00,2571,short,o_short,6479.1776083469,False,-277.940000000001,7230.05,2020-04-18 14:00:00,2671,e_short,-313.060000000002
2020-04-20 11:00:00,7070.85,7079,7050.03,7056.77,5433.771,7100.99,7269.82462299647,o_short,2020-04-19 14:00:00,10732,short,o_short,6987.78437700353,False,30.2600000000002,7070.73,2020-04-20 11:00:00,10774,e_short,-282.800000000002
2020-04-22 13:30:00,7041.6,7098,7030.2,7056.18,22202.864,6928.33,6692.45520429378,o_long,2020-04-22 07:00:00,10862,long,o_long,7130.5205957062,False,113.14,7041.47,2020-04-22 13:30:00,10875,e_long,-169.660000000002
2020-04-23 16:00:00,7528.15,7612.36,7528,7547.93,14812.595,6869.96,7317.36869881259,o_short,2020-04-20 18:00:00,2697,short,o_short,6615.5203011874,False,-658.18,7528.14,2020-04-23 16:00:00,2732,e_short,-827.840000000002
2020-04-26 11:00:00,7640.35,7676.86,7608,7647.52,14884.292,7520,7587.01610830444,o_short,2020-04-25 22:00:00,11036,short,o_short,7464.62489169557,False,-120.43,7640.43,2020-04-26 11:00:00,11062,e_short,-948.270000000002
2020-04-29 02:30:00,7770.01,7800,7770,7781.77,7444.456,7683.48,7783.28590810205,o_short,2020-04-28 15:00:00,11166,short,o_short,7592.27509189796,False,-86.5300000000007,7770.01,2020-04-29 02:30:00,11189,e_short,-1034.8
2020-05-02 16:30:00,8969.99,9020,8969.41,8987.4,14844.636,8787.63,9234.38524932033,o_short,2020-05-01 14:30:00,11309,short,o_short,8359.81015067968,False,-182.370000000001,8970,2020-05-02 16:30:00,11361,e_short,-1217.17
2020-05-04 02:00:00,8697.61,8747.87,8677.04,8743.63,7445.809,8896.41,9145.24552076608,o_short,2020-05-03 13:30:00,11403,short,o_short,8664.57487923392,False,199.09,8697.32,2020-05-04 02:00:00,11428,e_short,-1018.08
2020-05-06 10:30:00,9203.1,9300,9169.19,9230.41,33688.353,8903.99,8573.47809834161,o_long,2020-05-04 21:00:00,11466,long,o_long,9171.20530165839,False,301.98,9205.97,2020-05-06 10:30:00,11541,e_long,-716.100000000004
2020-05-10 00:00:00,9550.25,9580,7940,8506.18,150175.932,9709.08,10247.151667546,o_short,2020-05-09 07:00:00,11678,short,o_short,9292.55333245398,False,158.41,9550.67,2020-05-10 00:00:00,11712,e_short,-557.690000000004
2020-05-13 13:00:00,9086,9115,9051,9102,12453.232,9133.99,8030.77880528767,o_long,2020-05-11 12:30:00,11785,long,o_long,9876.36959471232,False,-48.7800000000007,9085.21,2020-05-13 13:00:00,11882,e_long,-606.470000000005
2020-05-17 12:30:00,9731.96,9773.88,9690.23,9767.08,11860.396,9489,9921.59151117408,o_short,2020-05-15 15:30:00,11983,short,o_short,9066.23588882592,False,-243.059999999999,9732.06,2020-05-17 12:30:00,12073,e_short,-849.530000000004
2020-05-20 16:00:00,9410.02,9522.33,9353,9499.29,24830.75,9577.54,9945.19559664395,o_short,2020-05-18 10:00:00,12116,short,o_short,9226.36240335605,False,167.51,9410.03,2020-05-20 16:00:00,12224,e_short,-682.020000000004
2020-05-21 16:00:00,9081.89,9114.3,9041.63,9095.99,9155.019,8707.19,10070.2063420944,o_short,2020-05-10 02:00:00,2929,short,o_short,8359.50045790564,False,-375.109999999999,9082.3,2020-05-21 16:00:00,3068,e_short,-1057.13
2020-05-24 14:00:00,9082.65,9082.91,9006,9061.87,13830.955,9220.01,8861.46707619515,o_long,2020-05-23 00:30:00,12337,long,o_long,9558.87812380485,False,-137.380000000001,9082.63,2020-05-24 14:00:00,12412,e_long,-1194.51
2020-05-27 10:30:00,8982.65,9196.14,8978.99,9122.65,33787.907,8951.96,8611.48501110747,o_long,2020-05-26 08:00:00,12496,long,o_long,9238.53558889253,False,30.6900000000005,8982.65,2020-05-27 10:30:00,12549,e_long,-1163.82
2020-05-29 00:00:00,9569.58,9598,9526,9540.22,7811.79,9184.46,8561.99113607974,o_long,2020-05-27 18:00:00,3141,long,o_long,9776.05206392026,False,385.130000000001,9569.59,2020-05-29 00:00:00,3156,e_long,-778.690000000002
2020-05-30 23:00:00,9725.14,9738,9637.29,9685.93,10561.7,9368.98,9633.67496005092,o_short,2020-05-30 00:30:00,12673,short,o_short,9121.54283994907,False,-356.16,9725.14,2020-05-30 23:00:00,12718,e_short,-1134.85
2020-06-01 21:00:00,9664.93,9700,9624.69,9666.26,8353.754,9470.09,9680.07965322865,o_short,2020-05-31 15:00:00,12750,short,o_short,9343.74374677134,False,-194.85,9664.94,2020-06-01 21:00:00,12810,e_short,-1329.7
2020-06-04 16:00:00,9828.11,9868.33,9750.63,9792.44,12309.694,9584.47,10283.0355298034,o_short,2020-06-02 15:00:00,12846,short,o_short,9164.17827019657,False,-243.640000000001,9828.11,2020-06-04 16:00:00,12944,e_short,-1573.34
2020-06-07 12:00:00,9573.65,9602.74,9468,9512.64,14946.164,9660.96,9879.06885322152,o_short,2020-06-05 12:30:00,12985,short,o_short,9492.63014677848,False,86.9899999999998,9573.97,2020-06-07 12:00:00,13080,e_short,-1486.35
2020-06-09 22:00:00,9809.8,9832.52,9688,9782.01,12426.819,9771.75,9488.80900249645,o_long,2020-06-07 20:00:00,13096,long,o_long,9763.18919750355,False,37.5499999999993,9809.3,2020-06-09 22:00:00,13196,e_long,-1448.8
2020-06-11 00:00:00,9884.99,9903.05,9870,9894.31,4294.997,9617.29,9997.65787051067,o_short,2020-06-06 00:00:00,3252,short,o_short,9237.91952948933,False,-267.699999999999,9884.99,2020-06-11 00:00:00,3312,e_short,-1716.5
2020-06-11 14:00:00,9640.01,9679.11,9618.88,9660,7086.828,9728.11,9911.40358883506,o_short,2020-06-11 13:00:00,13274,short,o_short,9656.29541116495,False,88.1000000000004,9640.01,2020-06-11 14:00:00,13276,e_short,-1628.4
2020-06-11 18:00:00,9379.88,9389.83,9333,9363.82,7263.881,9640.01,9889.25452260343,o_short,2020-06-11 14:00:00,3319,short,o_short,9515.44107739656,False,260.43,9379.58,2020-06-11 18:00:00,3321,e_short,-1367.97
2020-06-14 15:00:00,9346,9392.22,9333.53,9370,6468.476,9426.2,9226.94886885227,o_long,2020-06-13 14:00:00,13372,long,o_long,9611.39353114775,False,-80.2000000000007,9346,2020-06-14 15:00:00,13422,e_long,-1448.17
2020-06-17 20:00:00,9290.84,9357.99,9231.03,9342,21074.006,9348.98,9073.7710038538,o_long,2020-06-15 16:30:00,13473,long,o_long,9589.4357961462,False,-55.369999999999,9293.61,2020-06-17 20:00:00,13576,e_long,-1503.54
2020-06-22 05:00:00,9405.37,9450,9401.42,9420.37,9580.811,9412.01,9289.42581135837,o_long,2020-06-19 12:30:00,13657,long,o_long,9492.80978864164,False,-6.6200000000008,9405.39,2020-06-22 05:00:00,13786,e_long,-1510.16
2020-06-22 18:00:00,9586.35,9596,9572.41,9578.5,3955.94,9559.49,9126.58905905426,o_long,2020-06-16 04:00:00,3374,long,o_long,9963.63754094574,False,26.8600000000006,9586.35,2020-06-22 18:00:00,3453,e_long,-1483.3
2020-06-24 11:00:00,9384.16,9424.21,9370,9402.86,8926.59,9519,9769.76473532099,o_short,2020-06-24 08:00:00,13888,short,o_short,9429.45066467901,False,134.84,9384.16,2020-06-24 11:00:00,13894,e_short,-1348.46
2020-06-25 04:00:00,9099.65,9156.25,9089.24,9119.66,10180.034,9337.26,9683.46513739968,o_short,2020-06-24 12:00:00,3474,short,o_short,9196.53646260031,False,237.610000000001,9099.65,2020-06-25 04:00:00,3482,e_short,-1110.85
2020-07-01 14:00:00,9212.07,9238.68,9207,9231,7317.556,9125.82,8935.98674915143,o_long,2020-06-28 14:30:00,14093,long,o_long,9251.07625084856,False,86.25,9212.07,2020-07-01 14:00:00,14236,e_long,-1024.6
2020-07-02 15:30:00,9072.37,9091.7,9032.49,9049.61,9116.873,9183.08,9278.87794548225,o_short,2020-07-02 11:30:00,14279,short,o_short,9090.93325451774,False,110.92,9072.16,2020-07-02 15:30:00,14287,e_short,-913.680000000002
2020-07-04 18:30:00,9159,9170,9122,9140.46,6016.995,9169.98,9047.06787339055,o_long,2020-07-04 18:00:00,14388,long,o_long,9120.40952660946,False,-10.9799999999996,9159,2020-07-04 18:30:00,14389,e_long,-924.660000000002
